fold,fold_folder,split,n_subjects,n_windows,TE_shape,accuracy_windows,n_control_windows,n_tdah_windows,diagonal_zero,model_path
0,fold_1,train,75,4871,"(4871, 19, 19)",0.9956887702730446,2231,2640,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold0.state_dict.pt
0,fold_1,validation,20,1574,"(1574, 19, 19)",0.9237611181702668,683,891,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold0.state_dict.pt
0,fold_1,test,24,1662,"(1662, 19, 19)",0.8507821901323707,743,919,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold0.state_dict.pt
1,fold_2,train,75,5117,"(5117, 19, 19)",0.9773304670705492,2333,2784,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold1.state_dict.pt
1,fold_2,validation,20,1428,"(1428, 19, 19)",0.8151260504201681,652,776,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold1.state_dict.pt
1,fold_2,test,24,1562,"(1562, 19, 19)",0.7842509603072984,672,890,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold1.state_dict.pt
2,fold_3,train,75,5105,"(5105, 19, 19)",0.9968658178256611,2330,2775,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold2.state_dict.pt
2,fold_3,validation,20,1343,"(1343, 19, 19)",0.9694713328369322,559,784,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold2.state_dict.pt
2,fold_3,test,24,1659,"(1659, 19, 19)",0.9138034960819771,768,891,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold2.state_dict.pt
3,fold_4,train,75,5199,"(5199, 19, 19)",0.9913444893248702,2373,2826,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold3.state_dict.pt
3,fold_4,validation,20,1300,"(1300, 19, 19)",0.9130769230769231,558,742,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold3.state_dict.pt
3,fold_4,test,24,1608,"(1608, 19, 19)",0.7201492537313433,726,882,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold3.state_dict.pt
4,fold_5,train,76,5080,"(5080, 19, 19)",0.9988188976377953,2262,2818,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold4.state_dict.pt
4,fold_5,validation,20,1411,"(1411, 19, 19)",0.8454996456413891,647,764,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold4.state_dict.pt
4,fold_5,test,23,1616,"(1616, 19, 19)",0.7772277227722773,748,868,True,/home/usuario-utp/Desktop/Yessica Alejandra/resultados_hybridtransformer_tekte_tdah_2/HybridTransformerTEKTE_best_models/HybridTransformerTEKTE_BESTTRIAL_fold4.state_dict.pt
